date,open,high,low,close,adjusted_close,volume
11/29/2024,7168,7189.13,7107.28,7114.27,7114.27,218431100
11/28/2024,7215.91,7249.69,7195.67,7200.16,7200.16,178995100
11/26/2024,7329.53,7341.6,7245.89,7245.89,7245.89,164096700
11/25/2024,7218.95,7329.49,7218.83,7314.11,7314.11,264819900
11/22/2024,7154.68,7215.69,7154.45,7195.56,7195.56,205841500
11/21/2024,7168.33,7209.36,7140.91,7140.91,7140.91,155717100
11/20/2024,7214,7229.71,7171.27,7180.33,7180.33,164074200
11/19/2024,7140.19,7229.83,7136.69,7195.71,7195.71,205098000
11/18/2024,7152.08,7174.75,7118.87,7134.28,7134.28,191734000
11/15/2024,7192.21,7241.66,7122.68,7161.26,7161.26,213100000
11/14/2024,7303.9,7318.78,7214.56,7214.56,7214.56,209423400
11/13/2024,7344.01,7370.39,7304.87,7308.67,7308.67,226286700
11/12/2024,7271.17,7344.07,7268.61,7321.99,7321.99,287694700
11/11/2024,7259.29,7282.2,7182.31,7266.46,7266.46,221004900
11/8/2024,7263.96,7350.36,7263.96,7287.19,7287.19,148863600
11/7/2024,7373.57,7381.76,7243.86,7243.86,7243.86,204087800
11/6/2024,7495.13,7506.6,7363.03,7383.87,7383.87,235788800
11/5/2024,7474.45,7497,7451.55,7491.93,7491.93,182653900
11/4/2024,7505.11,7529.7,7415.81,7479.5,7479.5,212287900
11/1/2024,7573.79,7583.69,7485.46,7505.26,7505.26,155270800
10/31/2024,7569.72,7617.36,7558.68,7574.02,7574.02,203290200
10/30/2024,7558.8,7581.91,7521.73,7569.85,7569.85,168203300
10/29/2024,7625.47,7666.43,7587.21,7606.6,7606.6,182774700
10/28/2024,7705.87,7714.74,7599.62,7634.63,7634.63,197205700
10/25/2024,7717.43,7752.25,7678.18,7694.66,7694.66,205788500
10/24/2024,7778.66,7794.86,7716.55,7716.55,7716.55,242869700
10/23/2024,7774.01,7805.92,7761.25,7787.56,7787.56,269650200
10/22/2024,7752.38,7801.4,7731.96,7788.98,7788.98,286785700
10/21/2024,7780.25,7795.09,7739.89,7772.6,7772.6,246855900
10/18/2024,7762.15,7790.71,7718.68,7760.06,7760.06,234291900
10/17/2024,7661.07,7758.67,7657.72,7735.04,7735.04,224594300
10/16/2024,7645.21,7658.4,7616.6,7648.94,7648.94,197424300
10/15/2024,7579.05,7635.04,7573.45,7626.95,7626.95,218732600
10/14/2024,7518.81,7570.27,7518.81,7559.65,7559.65,205872100
10/11/2024,7520.53,7549.54,7506.28,7520.6,7520.6,159472100
10/10/2024,7501.87,7528.95,7467.82,7480.08,7480.08,157952700
10/9/2024,7556.56,7595.58,7501.22,7501.29,7501.29,169190500
10/8/2024,7486.72,7592.88,7449.48,7557.14,7557.14,194830700
10/7/2024,7493.66,7540.24,7450.2,7504.13,7504.13,235809600
10/4/2024,7531.79,7549.23,7467.8,7496.09,7496.09,223945300
10/3/2024,7567.45,7581.33,7504.41,7543.83,7543.83,189365800
10/2/2024,7601.74,7619.1,7501.46,7563.26,7563.26,315317300
10/1/2024,7551.46,7642.13,7547.11,7642.13,7642.13,206962900
9/30/2024,7674.29,7679.24,7527.93,7527.93,7527.93,222223500
9/27/2024,7713.8,7736.92,7663.48,7696.92,7696.92,190512300
9/26/2024,7723.1,7763.08,7673.05,7744.52,7744.52,202756700
9/25/2024,7747.85,7760.88,7633.45,7740.9,7740.9,276661800
