"yf-u4m6f0","yf-u4m6f0 2","yf-u4m6f0 3","yf-u4m6f0 4","yf-u4m6f0 5","yf-u4m6f0 6","yf-u4m6f0 7"
"Dec 3, 2025","8,655.02","8,669.19","8,591.81","8,611.79","8,611.79","432,093,300"
"Dec 2, 2025","8,577.61","8,625.64","8,564.70","8,617.04","8,617.04","405,114,200"
"Dec 1, 2025","8,541.54","8,553.62","8,493.25","8,548.79","8,548.79","433,587,600"
"Nov 28, 2025","8,555.66","8,572.36","8,495.21","8,508.71","8,508.71","386,357,400"
"Nov 27, 2025","8,611.33","8,622.27","8,521.50","8,545.87","8,545.87","463,624,300"
"Nov 26, 2025","8,533.89","8,602.13","8,503.15","8,602.13","8,602.13","498,634,000"
"Nov 25, 2025","8,570.85","8,574.38","8,487.22","8,521.88","8,521.88","414,092,000"
"Nov 24, 2025","8,458.29","8,570.25","8,429.46","8,570.25","8,570.25","471,629,100"
"Nov 21, 2025","8,403.90","8,432.60","8,361.27","8,414.35","8,414.35","288,992,600"
"Nov 20, 2025","8,449.54","8,491.43","8,419.92","8,419.92","8,419.92","319,147,400"
"Nov 19, 2025","8,384.36","8,426.63","8,375.58","8,406.58","8,406.58","394,548,300"
"Nov 18, 2025","8,427.40","8,442.87","8,341.90","8,361.93","8,361.93","374,837,900"
"Nov 17, 2025","8,397.84","8,452.33","8,392.00","8,416.88","8,416.88","382,110,500"
"Nov 14, 2025","8,378.13","8,417.13","8,360.94","8,370.44","8,370.44","422,843,300"
"Nov 13, 2025","8,412.83","8,418.16","8,354.84","8,372.00","8,372.00","534,184,900"
"Nov 12, 2025","8,392.28","8,428.95","8,377.50","8,388.57","8,388.57","491,096,300"
"Nov 11, 2025","8,437.96","8,443.69","8,338.40","8,366.51","8,366.51","677,885,600"
"Nov 10, 2025","8,443.32","8,478.15","8,391.24","8,391.24","8,391.24","415,934,000"
"Nov 7, 2025","8,346.58","8,398.76","8,332.60","8,394.59","8,394.59","227,520,700"
"Nov 6, 2025","8,354.68","8,362.92","8,289.89","8,337.06","8,337.06","229,181,000"
"Nov 5, 2025","8,213.60","8,318.53","8,181.90","8,318.53","8,318.53","333,837,700"
"Nov 4, 2025","8,275.95","8,317.08","8,225.91","8,241.91","8,241.91","254,611,100"
"Nov 3, 2025","8,208.03","8,282.16","8,201.36","8,275.08","8,275.08","338,112,200"
"Oct 31, 2025","8,202.52","8,215.55","8,144.08","8,163.88","8,163.88","245,393,300"
"Oct 30, 2025","8,176.36","8,231.88","8,145.60","8,184.06","8,184.06","326,703,000"
"Oct 29, 2025","8,107.38","8,169.14","8,042.63","8,166.22","8,166.22","248,336,300"
"Oct 28, 2025","8,144.42","8,151.33","8,039.85","8,092.63","8,092.63","282,866,700"
"Oct 27, 2025","8,322.22","8,354.67","7,959.17","8,117.15","8,117.15","359,000,200"
"Oct 24, 2025","8,294.89","8,351.06","8,271.72","8,271.72","8,271.72","238,196,400"
"Oct 23, 2025","8,179.88","8,292.89","8,179.61","8,274.35","8,274.35","281,648,700"
"Oct 22, 2025","8,235.70","8,261.84","8,141.99","8,152.55","8,152.55","275,367,500"
"Oct 21, 2025","8,165.69","8,238.08","8,161.19","8,238.08","8,238.08","281,761,500"
"Oct 20, 2025","7,988.45","8,117.27","7,937.38","8,088.98","8,088.98","307,599,100"
"Oct 17, 2025","8,132.75","8,140.60","7,854.31","7,915.66","7,915.66","353,739,000"
"Oct 16, 2025","8,064.68","8,148.04","8,030.78","8,124.76","8,124.76","246,641,300"
"Oct 15, 2025","8,107.30","8,132.52","7,936.37","8,051.17","8,051.17","329,138,800"
"Oct 14, 2025","8,269.48","8,284.91","7,974.03","8,066.52","8,066.52","440,487,100"
"Oct 13, 2025","8,169.65","8,288.28","8,133.63","8,227.20","8,227.20","366,939,200"
"Oct 10, 2025","8,259.08","8,270.33","8,194.05","8,257.86","8,257.86","366,345,900"
